code,title,type,required,read_only,dynamic,multiple,enum_count
"ADDRESS","Адрес","string","false","false","false","false","0"
"ADDRESS_2","Адрес (стр. 2)","string","false","false","false","false","0"
"ADDRESS_CITY","Город","string","false","false","false","false","0"
"ADDRESS_COUNTRY","Страна","string","false","false","false","false","0"
"ADDRESS_COUNTRY_CODE","Код страны","string","false","false","false","false","0"
"ADDRESS_LOC_ADDR_ID","Идентификатор адреса местоположения","integer","false","false","false","false","0"
"ADDRESS_POSTAL_CODE","Почтовый индекс","string","false","false","false","false","0"
"ADDRESS_PROVINCE","Область","string","false","false","false","false","0"
"ADDRESS_REGION","Район","string","false","false","false","false","0"
"ASSIGNED_BY_ID","Ответственный","user","false","false","false","false","0"
"BIRTHDATE","Дата рождения","date","false","false","false","false","0"
"COMMENTS","Комментарий","string","false","false","false","false","0"
"COMPANY_ID","Компания","crm_company","false","false","false","false","0"
"COMPANY_TITLE","Название компании","string","false","false","false","false","0"
"CONTACT_ID","Контакт","crm_contact","false","false","false","false","0"
"CONTACT_IDS","CONTACT_IDS","crm_contact","false","false","false","true","0"
"CREATED_BY_ID","Кем создан","user","false","true","false","false","0"
"CURRENCY_ID","Валюта","crm_currency","false","false","false","false","0"
"DATE_CLOSED","Дата завершения","datetime","false","true","false","false","0"
"DATE_CREATE","Дата создания","datetime","false","true","false","false","0"
"DATE_MODIFY","Дата изменения","datetime","false","true","false","false","0"
"EMAIL","E-mail","crm_multifield","false","false","false","true","0"
"HAS_EMAIL","Задан e-mail","char","false","true","false","false","0"
"HAS_IMOL","Задана открытая линия","char","false","true","false","false","0"
"HAS_PHONE","Задан телефон","char","false","true","false","false","0"
"HONORIFIC","Обращение","crm_status","false","false","false","false","0"
"ID","ID","integer","false","true","false","false","0"
"IM","Мессенджер","crm_multifield","false","false","false","true","0"
"IS_MANUAL_OPPORTUNITY","IS_MANUAL_OPPORTUNITY","char","false","false","false","false","0"
"IS_RETURN_CUSTOMER","Повторный лид","char","false","true","false","false","0"
"LAST_ACTIVITY_BY","LAST_ACTIVITY_BY","user","false","false","false","false","0"
"LAST_ACTIVITY_TIME","LAST_ACTIVITY_TIME","datetime","false","false","false","false","0"
"LAST_COMMUNICATION_TIME","LAST_COMMUNICATION_TIME","string","false","true","false","false","0"
"LAST_NAME","Фамилия","string","false","false","false","false","0"
"LINK","LINK","crm_multifield","false","false","false","true","0"
"MODIFY_BY_ID","Кем изменен","user","false","true","false","false","0"
"MOVED_BY_ID","MOVED_BY_ID","user","false","true","false","false","0"
"MOVED_TIME","MOVED_TIME","datetime","false","true","false","false","0"
"NAME","Имя","string","false","false","false","false","0"
"OPENED","Доступен для всех","char","false","false","false","false","0"
"OPPORTUNITY","Сумма","double","false","false","false","false","0"
"ORIGIN_ID","Идентификатор элемента во внешнем источнике","string","false","false","false","false","0"
"ORIGINATOR_ID","Внешний источник","string","false","false","false","false","0"
"PHONE","Телефон","crm_multifield","false","false","false","true","0"
"POST","Должность","string","false","false","false","false","0"
"SECOND_NAME","Отчество","string","false","false","false","false","0"
"SOURCE_DESCRIPTION","Дополнительно об источнике","string","false","false","false","false","0"
"SOURCE_ID","Источник","crm_status","false","false","false","false","0"
"STATUS_DESCRIPTION","Дополнительно о стадии","string","false","false","false","false","0"
"STATUS_ID","Стадия","crm_status","false","false","false","false","0"
"STATUS_SEMANTIC_ID","Состояние статуса","string","false","true","false","false","0"
"TITLE","Название лида","string","false","false","false","false","0"
"UF_CRM_1716207144274","Yoshi","double","false","false","true","false","0"
"UF_CRM_1717142154639","Boshqa viloyatdan","enumeration","false","false","true","true","21"
"UF_CRM_1717220418","*Дата первого закрытия лида","datetime","false","false","true","false","0"
"UF_CRM_1717744076020","Toshkent  va viloyat tumanlari ","enumeration","false","false","true","false","21"
"UF_CRM_1721732964377","Filialini tanlang:","enumeration","false","false","true","false","13"
"UF_CRM_1725535929781","Robbit haqida malumotni qayerdan olgan? ","enumeration","false","false","true","false","10"
"UF_CRM_1725860990363","Maktabda o'qish vaqti qanday?","enumeration","false","false","true","false","4"
"UF_CRM_1727904923821","Filialni tanlang (Target uchun)","string","false","false","true","false","0"
"UF_CRM_1737032134000","Bog'lanib bo'lmaganga chiqib ketish sababi","enumeration","false","false","true","false","3"
"UF_CRM_1737032396081","SPAMga chiqish sababi","enumeration","false","false","true","false","6"
"UF_CRM_1737111036287","Ko'p o'ylayaptiga chiqib ketish sababi:","enumeration","false","false","true","false","10"
"UF_CRM_1737370829","*Дата первого контакта","datetime","false","false","true","false","0"
"UF_CRM_1742461360163","Ehtimollik foizi","string","false","false","true","false","0"
"UF_CRM_1742461541159","Qo'yilgan foizga izoh","string","false","false","true","false","0"
"UF_CRM_1744289643679","Summary 1","string","false","false","true","false","0"
"UF_CRM_1744289699502","Summary 2","string","false","false","true","false","0"
"UF_CRM_1744289707567","Summary 3","string","false","false","true","false","0"
"UF_CRM_1745212120","Referal qildanning ID raqami","integer","false","false","true","false","0"
"UF_CRM_1745212150","Referal qildanning to'liq ismi","string","false","false","true","false","0"
"UF_CRM_1747228773","Sayt sahifa nomi","string","false","false","true","false","0"
"UF_CRM_1750236334688","Telegram username (telegramdan yozish uchun)","string","false","false","true","false","0"
"UF_CRM_1750236853562","Yosh chegarasi (telegram bot)","string","false","false","true","false","0"
"UF_CRM_1754657926","Birinchi mas'ul","employee","false","false","true","false","0"
"UF_CRM_1755271327493","Область 1","string","false","false","true","false","0"
"UF_CRM_1755271336732","Город 1","string","false","false","true","false","0"
"UF_CRM_1755271345140","Область 2","string","false","false","true","false","0"
"UF_CRM_1755271353319","Город 2","string","false","false","true","false","0"
"UF_CRM_1755274753986","Shaharni tanlang","rest_87_regions_and_cities_1","false","false","true","false","0"
"UF_CRM_1755274762133","Область и город 2","rest_87_regions_and_cities_2","false","false","true","false","0"
"UF_CRM_1760698377","Form ID","string","false","false","true","false","0"
"UF_CRM_1760698492","Form Name","string","false","false","true","false","0"
"UF_CRM_1760698508","Lead ID","string","false","false","true","false","0"
"UF_CRM_1760698528","Ad ID","string","false","false","true","false","0"
"UF_CRM_1760698586","Campaign ID","string","false","false","true","false","0"
"UF_CRM_1760698600","Ad Set ID","string","false","false","true","false","0"
"UF_CRM_1760698636","Platform","string","false","false","true","false","0"
"UF_CRM_1760699382","Birthday","string","false","false","true","false","0"
"UF_CRM_1760957904","Qo'shimcha raqam","string","false","false","true","false","0"
"UF_CRM_1761973332901","Boshqa raqamini kiriting","string","false","false","true","false","0"
"UF_CRM_1762841670016","Bizda yo'q kurs","enumeration","false","false","true","false","5"
"UF_CRM_1765358538304","ТЕХН - номер","string","false","false","true","false","0"
"UF_CRM_1765477675489","Manzil qulaymi (Jiddi)","string","false","false","true","false","0"
"UF_CRM_1765477720905","Farzandining Yoshi (Jiddi)","string","false","false","true","false","0"
"UF_CRM_1766582926922","Aynan nima sababdan filtrdan o'tmagan ","enumeration","false","false","true","false","5"
"UF_CRM_1768210830319","Qaysi sanada o'qishni boshlamoqchi  ","date","false","false","true","false","0"
"UF_CRM_1769749720722","Yo'nalishni tanlang ","enumeration","false","false","true","false","2"
"UF_CRM_1772259939","Filialda kim kutib oldi","employee","false","false","true","false","0"
"UF_CRM_COOKIES","cookies","string","false","false","true","false","0"
"UF_CRM_FILIAL","filial","string","false","false","true","false","0"
"UF_CRM_FILIALNITANLA","Filialni_tanlang","string","false","false","true","false","0"
"UF_CRM_FORMNAME","formname","string","false","false","true","false","0"
"UF_CRM_QAYSIKURSDAOQ","Qaysi_kursda_oqimoqchisiz","string","false","false","true","false","0"
"UF_CRM_TRANID","tranid","string","false","false","true","false","0"
"UF_CRM_UTMID","utm_id","string","false","false","true","false","0"
"UF_CRM_YOSH","yosh","string","false","false","true","false","0"
"UTM_CAMPAIGN","Обозначение рекламной кампании","string","false","false","false","false","0"
"UTM_CONTENT","Содержание кампании","string","false","false","false","false","0"
"UTM_MEDIUM","Тип трафика","string","false","false","false","false","0"
"UTM_SOURCE","Рекламная система","string","false","false","false","false","0"
"UTM_TERM","Условие поиска кампании","string","false","false","false","false","0"
"WEB","Сайт","crm_multifield","false","false","false","true","0"
